This file is an ordered list of all 16bit choices for a miller-rabin base to use
in conjunction with base 2, when doing primality testing of a 64 bit value.
The list is sorted by how many 64 bit values are strong pseudoprimes to both of
the following bases: base[0]=2 and base[1]=the_listed_base_number.

total pseudoprimes   base number
1309089  62660
1309090  56832
1309092  32250
1309093  11027
1309094  26976
1309097  64728
1309099  61420
1309099  25120
1309100  16182
1309102  62530
1309105  21816
1309106  6744
1309106  63348
1309108  16752
1309111  49266
1309114  62355
1309115  4188
1309121  7992
1309121  10525
1309122  1716
1309123  44108
1309124  18500
1309125  34307
1309128  9100
1309129  5454
1309130  27456
1309133  4517
1309139  9405
1309145  1047
1309145  37620
1309146  50166
1309149  20555
1309150  43272
1309154  51060
1309155  25839
1309158  27930
1309159  1998
1309161  44003
1309166  18068
1309167  8559
1309171  35081
1309173  47142
1309174  22990
1309174  4625
1309175  63621
1309177  15837
1309177  16525
1309178  203
1309178  13850
1309180  28962
1309182  3248
1309183  51968
1309184  31968
1309187  37692
1309193  24353
1309193  41004
1309195  20175
1309196  7928
1309197  785
1309198  15318
1309198  31227
1309198  42100
1309199  57502
1309199  9423
1309202  3140
1309203  6280
1309209  43802
1309211  12560
1309213  50240
1309214  812
1309216  55098
1309217  12992
1309218  15665
1309218  34236
1309219  13310
1309222  10251
1309224  31712
1309225  20300
1309226  64141
1309229  46585
1309232  23000
1309233  5750
1309233  55400
1309234  52808
1309236  44970
1309240  36351
1309244  29646
1309246  53240
1309251  23796
1309260  13472
1309260  62920
1309262  24221
1309263  5949
1309263  31545
1309265  9738
1309265  54122
1309267  9608
1309268  15763
1309272  238
1309274  1982
1309278  5075
1309279  21152
1309280  1322
1309280  60928
1309280  31538
1309282  29250
1309289  3368
1309289  58898
1309289  842
1309291  56385
1309291  11645
1309297  30888
1309299  53888
1309302  52998
1309303  25099
1309303  520
1309305  8320
1309306  3808
1309307  18277
1309308  13320
1309309  40700
1309309  1993
1309310  38952
1309311  19943
1309315  44040
1309315  46978
1309316  7722
1309316  61272
1309316  20416
1309317  4570
1309318  31888
1309318  4901
1309321  34830
1309321  49086
1309323  27869
1309324  12060
1309325  5288
1309326  11010
1309327  18280
1309328  52234
1309330  1276
1309331  18684
1309337  7972
1309338  2402
1309338  3330
1309341  130
1309342  33120
1309342  952
1309343  33280
1309343  3990
1309345  2080
1309346  48240
1309346  9032
1309347  2070
1309348  15232
1309348  55312
1309349  15730
1309349  10175
1309351  3457
1309351  13202
1309354  53280
1309354  36128
1309357  63840
1309358  38432
1309359  8280
1309359  2258
1309361  9509
1309363  46580
1309364  64158
1309366  15944
1309369  4680
1309369  63052
1309372  18910
1309372  22554
1309374  39511
1309374  3015
1309374  55911
1309381  60302
1309382  32553
1309385  32886
1309385  5052
1309385  18368
1309388  29147
1309390  5104
1309393  57490
1309396  63776
1309398  59484
1309398  1881
1309400  3986
1309401  19481
1309401  32297
1309402  46055
1309402  50198
1309403  45133
1309407  1148
1309412  58065
1309413  13828
1309413  36371
1309414  35480
1309415  1708
1309416  30096
1309416  319
1309417  39253
1309422  19604
1309423  14871
1309427  8870
1309430  38036
1309431  52326
1309433  23247
1309434  61515
1309435  13686
1309437  5382
1309437  6601
1309439  27328
1309440  12912
1309440  5810
1309440  46287
1309444  23240
1309445  17675
1309446  51606
1309449  2493
1309450  26843
1309452  16146
1309452  807
1309454  58981
1309455  10764
1309456  13088
1309458  37163
1309460  26299
1309462  18720
1309463  1170
1309463  15960
1309465  29967
1309465  58612
1309468  43848
1309469  3228
1309470  14653
1309473  4185
1309477  14922
1309478  4671
1309478  818
1309480  59688
1309480  61709
1309483  6565
1309483  4592
1309484  11625
1309485  39888
1309486  678
1309488  51750
1309488  56450
1309489  57400
1309490  13650
1309490  23143
1309492  54744
1309493  287
1309494  61124
1309494  14350
1309495  10962
1309495  20226
1309499  27474
1309499  16740
1309499  43227
1309500  1263
1309500  20208
1309501  51648
1309502  3272
1309504  12840
1309505  26404
1309505  17631
1309506  44066
1309511  10848
1309513  52352
1309514  27908
1309515  21528
1309515  52164
1309515  43625
1309516  50506
1309516  46500
1309517  43392
1309521  49615
1309521  19395
1309521  7524
1309521  19212
1309522  17175
1309526  41341
1309527  40286
1309528  15631
1309529  28518
1309530  43920
1309531  9972
1309533  16973
1309533  43056
1309534  64584
1309534  55120
1309535  2691
1309536  38500
1309537  47124
1309537  12640
1309539  18301
1309539  11781
1309540  49329
1309541  3445
1309542  10980
1309544  28587
1309544  427
1309544  45277
1309545  2745
1309546  20322
1309546  54656
1309546  10386
1309546  55418
1309548  65369
1309548  25196
1309555  54600
1309556  64594
1309557  24687
1309558  33795
1309558  6832
1309558  63206
1309559  2712
1309560  790
1309560  1054
1309560  15281
1309561  8536
1309562  50560
1309562  13780
1309562  21865
1309562  26260
1309563  13041
1309564  3416
1309564  4216
1309565  62524
1309565  60958
1309566  25125
1309566  65065
1309566  6102
1309567  6977
1309567  23544
1309568  2628
1309569  42048
1309569  20782
1309570  61425
1309571  2622
1309572  35027
1309574  16864
1309576  6299
1309577  40392
1309579  22468
1309579  7384
1309579  18810
1309579  3160
1309580  51841
1309580  16373
1309583  42183
1309583  24408
1309584  12165
1309586  45526
1309586  65492
1309586  41544
1309587  21462
1309589  55123
1309589  11825
1309591  48660
1309592  56615
1309592  33986
1309592  7952
1309594  10488
1309595  7734
1309595  52257
1309596  29299
1309599  42042
1309601  61551
1309601  51360
1309603  61367
1309606  32046
1309608  34144
1309609  32095
1309610  42150
1309610  9625
1309612  43407
1309612  37518
1309616  3210
1309616  37824
1309617  52493
1309617  52080
1309618  5617
1309618  854
1309618  41952
1309622  4803
1309622  37240
1309625  30936
1309627  20750
1309627  32161
1309627  20699
1309628  29536
1309629  19637
1309630  31844
1309630  1846
